pid,pname,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,POS
1,Quincy Acy,190,29,2810,302,623,0.485,28,89,0.315,274,534,0.513,0.507,161,213,0.756,219,459,678,117,74,74,116,361,793,PF
2,Jordan Adams,32,0,263,37,92,0.402,10,26,0.385,27,66,0.409,0.457,17,28,0.607,9,21,30,19,19,7,16,26,101,SG
3,Steven Adams,202,138,4241,455,831,0.548,0,2,0,455,829,0.549,0.548,260,472,0.551,469,709,1178,144,101,201,219,568,1170,C
4,Jeff Adrien,153,17,2148,264,557,0.474,0,2,0,264,555,0.476,0.474,181,288,0.628,221,438,659,100,50,79,91,259,709,PF
5,Arron Afflalo,624,479,17798,2639,5828,0.453,735,1915,0.384,1904,3913,0.487,0.516,1250,1520,0.822,312,1574,1886,1225,309,124,757,1289,7263,SG
6,Alexis Ajinca,235,50,2949,486,948,0.513,12,38,0.316,474,910,0.521,0.519,192,239,0.803,269,601,870,117,73,143,185,539,1176,C
7,Josh Akognon,3,0,9,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,1,1,1,0,0,0,3,5,PG
8,Solomon Alabi,26,0,181,16,51,0.314,0,0,,16,51,0.314,0.314,7,10,0.7,22,39,61,5,4,11,8,16,39,C
9,Furkan Aldemir,41,9,540,40,78,0.513,0,5,0,40,73,0.548,0.513,13,27,0.481,78,98,176,28,17,16,17,96,93,PF
10,Cole Aldrich,227,20,2364,315,619,0.509,0,0,,315,619,0.509,0.509,142,191,0.743,228,559,787,133,83,163,144,342,772,C
11,LaMarcus Aldridge,697,656,24426,5458,11234,0.486,61,233,0.262,5397,11001,0.491,0.489,2419,3030,0.798,1858,3986,5844,1331,543,709,1112,1800,13396,PF
12,Cliff Alexander,7,0,31,5,10,0.5,0,0,,5,10,0.5,0.5,0,0,,2,4,6,0,1,2,1,0,10,PF
13,Lavoy Allen,300,75,5562,696,1492,0.466,2,14,0.143,694,1478,0.47,0.467,143,211,0.678,560,937,1497,301,96,178,210,575,1537,PF
14,Tony Allen,709,357,15386,2178,4580,0.476,102,363,0.281,2076,4217,0.492,0.487,1220,1701,0.717,804,1567,2371,942,995,299,964,1675,5678,SG
15,Al-Farouq Aminu,431,228,9988,1119,2592,0.432,188,607,0.31,931,1985,0.469,0.468,530,731,0.725,618,1724,2342,488,413,245,540,813,2956,SF
16,Lou Amundson,421,42,5466,648,1358,0.477,0,3,0,648,1355,0.478,0.477,264,599,0.441,638,895,1533,187,151,303,293,829,1560,PF
17,Alan Anderson,287,66,6293,792,1945,0.407,305,882,0.346,487,1063,0.458,0.486,381,464,0.821,147,516,663,346,175,30,281,542,2270,SF
18,Chris Andersen,663,31,11793,1293,2428,0.533,13,56,0.232,1280,2372,0.54,0.535,1036,1586,0.653,1134,2239,3373,323,293,974,501,1297,3635,C
19,James Anderson,227,75,3935,483,1176,0.411,183,562,0.326,300,614,0.489,0.489,165,216,0.764,102,413,515,265,108,49,193,266,1314,SG
20,Justin Anderson,33,1,286,33,84,0.393,11,43,0.256,22,41,0.537,0.458,13,19,0.684,3,50,53,10,10,8,13,23,90,SG
21,Kyle Anderson,82,11,1000,102,242,0.421,9,30,0.3,93,212,0.439,0.44,48,67,0.716,18,164,182,93,38,25,41,75,261,SF
22,Ryan Anderson,468,158,12145,2104,4962,0.424,954,2515,0.379,1150,2447,0.47,0.52,898,1046,0.859,987,1604,2591,418,263,176,478,940,6060,PF
